judul,tanggal,konten,link
Lampung berupaya wujudkan harmoni sosial cegah konflik sosial,2025-07-22,"Bandarlampung (ANTARA) - Pemerintah Provinsi (Pemprov) Lampung berupaya mewujudkan stabilitas dan harmoni sosial guna mencegah konflik sosial di masyarakat melalui penerbitan Peraturan Gubernur Lampung (Pergub) Nomor 18 Tahun 2025. ""Salah satu upaya untuk mewujudkan stabilitas dan harmoni sosial di tengah masyarakat adalah dengan melakukan sosialisasi atas terbitnya Peraturan Gubernur (Pergub) Nomor 18 Tahun 2025 tentang pedoman penguatan ikatan sosial dalam pencegahan konflik sosial,"" ujar Asisten Pemerintahan dan Kesra Pemerintah Provinsi Lampung M Firsada dalam keterangan di Bandarlampung, Selasa. Ia mengatakan Pergub Nomor 18 Tahun 2025, menjadi tonggak penting bagi pemerintah daerah dalam upaya meminimalisasi kekerasan dan membangun lingkungan yang harmonis, serta meningkatkan produktivitas masyarakat. ""Pencegahan konflik memiliki peran krusial dalam menciptakan masyarakat yang lebih damai serta mengurangi dampak negatif yang bisa timbul akibat konflik yang berlarut,"" katanya. Dia menjelaskan pencegahan konflik juga bisa berdampak kepada pembentukan lingkungan yang harmonis, sehingga produktivitas masyarakat semakin meningkat. ""Pemerintah Provinsi Lampung juga melakukan berbagai upaya, seperti membentuk tim pencegahan konflik, penguatan sistem peringatan dini, peningkatan kesadaran, dialog antar-kelompok masyarakat, berperan aktif dalam memfasilitasi penyelesaian konflik melalui negosiasi, mediasi, dan pendekatan konstruktif,"" tambahnya. Ia berharap Pergub Nomor 18 Tahun 2025 dapat diimplementasikan secara menyeluruh, terutama oleh para pemuda. ""Pemuda ini masih memiliki semangat idealisme, kemampuan adaptasi dan jaringan sosial yang luas. Sehingga, mereka bisa menjadi agen perubahan yang positif, dapat memfasilitasi dialog serta membangun perdamaian melalui berbagai kebijakan,"" ucap dia. Dia mengajak semua pihak dapat memastikan pembangunan di Provinsi Lampung dapat berjalan dengan baik dan kondusif dengan minimnya konflik di masyarakat.",https://lampung.antaranews.com/berita/788185/lampung-berupaya-wujudkan-harmoni-sosial-cegah-konflik-sosial
Gubernur: Pembentukan SDM berkualitas perlu didukung sumber protein terjangkau,2025-07-22,"Bandarlampung (ANTARA) - Gubernur Lampung Rahmat Mirzani Djausal mengatakan untuk mendukung pembentukan sumber daya manusia (SDM) berkualitas maka perlu penyediaan sumber protein yang terjangkau. ""Di periode 2025-2030 pemerintah ingin memperkuat sumber daya manusia, dan ini dibentuk yang pertama dari asupan makanan yang dikonsumsi serta yang kedua dari pendidikan,"" ujar Gubernur di Bandarlampung, Selasa. Ia mengatakan pemerintah akan ikut dalam membentuk sumber daya manusia berkualitas dengan melakukan hilirisasi sektor pangan, agar penyediaan sumber protein untuk dikonsumsi masyarakat bisa lebih terjangkau. ""Salah satu caranya yaitu dengan melakukan hilirisasi jagung, kalau bisa dikelola dan dikeringkan di desa. Maka akan membantu pakan unggas yang merupakan sumber protein, jadi lebih murah,"" katanya. Dia menjelaskan ada tiga sumber protein utama yang diupayakan untuk dapat dikonsumsi oleh masyarakat dengan harga terjangkau yakni telur, daging ayam dan ikan. ""Sumber protein harus terjangkau serta murah, dan ini harus murah juga pakannya untuk membentuk ini, maka membutuhkan hilirisasi komoditas bahan pakan. Kami pun sudah mencoba membuat riset cara membuat pakan ikan dan unggas yang murah,"" ucap dia. Menurut dia, untuk menghasilkan pakan yang murah, maka pemerintah juga akan berupaya agar desa dapat memproduksi pakan sendiri, sehingga bisa memberikan nilai tambah serta meningkatkan kualitas masyarakat desa. Ia melanjutkan kalau pakan ikan dan ayam murah maka harga sumber protein terjangkau, serta konsumsi per kapita naik sehingga sumber daya manusia bisa semakin cerdas karena konsumsi protein yang cukup. ""Asupan protein harus baik serta cukup, agar sumber daya manusia kita pintar, dan menghasilkan berbagai inovasi untuk pembangunan daerah,"" tambahnya.",https://lampung.antaranews.com/berita/788141/gubernur-pembentukan-sdm-berkualitas-perlu-didukung-sumber-protein-terjangkau
Gubernur Lampung: Pemerintah  jaga TNWK untuk konservasi gajah,2025-07-22,"Bandarlampung (ANTARA) - Gubernur Lampung Rahmat Mirzani Djausal mengatakan bahwa pemerintah daerah tetap berkomitmen menjaga kawasan Taman Nasional Way Kambas (TNWK) sebagai lokasi konservasi gajah sumatra (Elephas maximus sumatranus). ""Seperti kita tahu Presiden memberikan perhatian terhadap konservasi gajah sumatra. Dan ada kawasan konservasi Taman Nasional Way Kambas di Lampung Timur, selama ini kami dukung semua agenda serta kegiatan konservasi satwa di Way Kambas,"" ujar dia di Bandarlampung, Selasa. Ia mengatakan komitmen Pemerintah Provinsi Lampung dalam menjaga kawasan konservasi gajah sumatra terus dilakukan. ""Kita sadar bahwa Way Kambas satu-satunya tempat konservasi. Dan di lokasi lain pun penting dilestarikan, untuk menjaga kehidupan gajah sumatra yang ada di Lampung agar tetap terjaga,"" ucap dia. Dia menjelaskan Pemerintah Provinsi Lampung selalu berkoordinasi dengan seluruh pihak, seperti pemerintah kabupaten yang wilayahnya masih memiliki populasi gajah sumatra. ""Bahkan kami pun berkoordinasi dengan pihak berwajib untuk mencegah adanya hal-hal yang mengancam konservasi gajah sumatra,"" katanya. Sebelumnya, Presiden Prabowo Subianto mengatakan bahwa pemerintah akan memberikan perhatian khusus kepada kawasan Taman Nasional Way Kambas yang merupakan pusat konservasi gajah sumatra. Presiden telah menyerahkan 90 ribu hektare lahan konsesi hutan tanaman industri (HTI) miliknya di Aceh untuk konservasi gajah sumatra dengan kerja sama dengan organisasi konservasi satwa World Wildlife Fund (WWF). Lahan konservasi gajah di Taman Nasional Way Kambas, Kabupaten Lampung Timur seluas 120 ribu hektare dan ada pula populasi gajah sumatra di Taman Nasional Bukit Barisan Selatan di kawasan hutan di Kabupaten Pesisir Barat dan Lampung Barat.",https://lampung.antaranews.com/berita/788093/gubernur-lampung-pemerintah-jaga-tnwk-untuk-konservasi-gajah
Lampung hibahkan lahan 50 hektare untuk Polinela di Kota Baru,2025-07-22,"Bandarlampung (ANTARA) - Pemerintah Provinsi (Pemprov) Lampung menghibahkan lahan seluas 50 hektare bagi Politeknik Negeri Lampung (Polinela) yang terletak di Kota Baru, Kabupaten Lampung Selatan. ""Kami memang berencana akan kembali mengaktifkan lahan yang ada di Kota Baru Kabupaten Lampung Selatan. Dan di sana telah disediakan lahan bagi universitas-universitas,"" ujar Gubernur Lampung Rahmat Mirzani Djausal di Bandarlampung, Selasa. Ia mengatakan di lokasi tersebut telah disediakan lahan untuk membentuk satu komplek khusus pendidikan. Dan komplek itu akan mengawali pembangunan kembali pusat pemerintahan di sana, serta untuk membangun ekosistem kota yang hidup. ""Polinela diharapkan bisa mengawali pembangunan di sana tahun ini, sebab tanahnya seluas 50 hektare sudah ada. Tahun depan pemerintah daerah akan secara bertahap membangun infrastruktur penunjang lainnya,"" katanya. Tanggapan tambahan akan adanya pemberian hibah lahan untuk membangun gedung bagi Polinela dikatakan oleh Direktur Politeknik Negeri Lampung (Polinela) Prof. Dr. Ir. Sarono, M.Si. ""Polinela saat ini dengan luas lahan seluas 35 hektare, tentu sangatlah terbatas. Sebab telah mengalami peningkatan jumlah program studi menjadi 36. Serta jumlah mahasiswa sudah 6.662 orang dan jumlah dosen pun meningkat,"" ujar Sarono. Ia mengatakan pihaknya bersyukur atas adanya hibah lahan seluas 50 hektare oleh Pemerintah Provinsi Lampung, pihaknya bisa memperluas fasilitas sesuai dengan perkembangan program pendidikan serta jumlah mahasiswa. ""Dengan adanya hibah lahan seluas 50 hektare ini, maka Polinela menjadi politeknik dengan luas lahan terluas se-Indonesia. Dan kami akan terus menunjang kebutuhan pemerintah dengan melakukan pengembangan inovasi serta sumber daya manusia,"" tambahnya. Baca juga: Pemprov Lampung jalin kerja sama strategis dengan Unila untuk bangun daerah Baca juga: Lampung upayakan MPLS siswa Sekolah Rakyat berlangsung di akhir Juli Baca juga: Gubernur Lampung sebut 213 mahasiswa KKN Internasional bantu bangun desa",https://lampung.antaranews.com/berita/788041/lampung-hibahkan-lahan-50-hektare-untuk-polinela-di-kota-baru
"Peringatan Hari Anak, Rutan Bandarlampung gelar kegiatan bersama keluarga warga binaan",2025-07-23,"Bandarlampung (ANTARA) - Dalam rangka memperingati Hari Anak Nasional Rumah Tahanan (Rutan) Kelas I Bandarlampung menggelar kegiatan spesial yang penuh kebahagiaan dan nuansa kekeluargaan bersama anak-anak dari para warga binaan yang datang bersama pengunjung. Kepala Rutan Kelas I Bandarlampung, Azhar, dalam keterangannya, Rabu, menjelaskan bahwa kegiatan ini merupakan bentuk perhatian dan pendekatan humanis kepada warga binaan dan keluarga mereka, khususnya anak-anak. ""Anak-anak ini adalah putra-putri dari warga binaan kami. Hari ini kami ingin membahagiakan mereka, kami berikan bingkisan, balon, berbagai permainan, kegiatan mewarnai, dan juga hadiah-hadiah kecil. Harapannya, momen ini bisa mempererat ikatan emosional antara warga binaan dan anak-anak mereka,"" ujar Azhar. Ia menjelaskan kegiatan ini merupakan bagian dari model pembinaan baru yang mengedepankan pendekatan humanis. ""Kita sentuh hati mereka. Kita ingin menunjukkan bahwa negara tetap hadir, tidak hanya kepada warga binaan, tapi juga kepada keluarganya. Harapannya, mereka akan semakin patuh terhadap aturan dan semangat menjalani pembinaan,"" imbuhnya. Selain kegiatan bermain dan pemberian hadiah, Rutan juga memperkenalkan berbagai produk hasil karya warga binaan, seperti roti yang diproduksi secara mandiri oleh mereka di dalam rutan. Produk ini juga dibagikan kepada para anak dan pengunjung yang hadir. ""Kita sudah pasarkan roti-roti ini keluar, dan hari ini kita bagikan juga ke anak-anak sebagai bagian dari perayaan. Meski hadiah dan bingkisan yang kita berikan sederhana, namun cukup untuk membuat mereka tersenyum dan bahagia,"" tambah Azhar. Rutan Kelas I Bandarlampung juga secara rutin menggelar kegiatan pembinaan lainnya. Salah satu program tetap yang telah berjalan adalah Upacara Hari Kesadaran Nasional setiap tanggal 17, dengan menghadirkan tokoh-tokoh penting di Kota Bandarlampung sebagai inspektur upacara. ""Mulai dari wali kota, kapolres, dandim, kajari, hingga kepala BNNK, kami libatkan agar mereka bisa lebih memahami kondisi warga binaan. Dengan begitu, diharapkan akan lahir kebijakan yang lebih berpihak kepada proses pembinaan,"" jelas Azhar. Tak hanya itu, Rutan juga aktif menampilkan penampilan band warga binaan dalam peringatan hari-hari besar seperti Hari Adhyaksa, Hari Bhayangkara, hingga Hari Bakti Imigrasi. ""Kita ingin buktikan bahwa warga binaan juga punya talenta dan keterampilan. Mereka bukan ancaman, tapi potensi. Setelah mereka bebas nanti, mereka bisa kembali ke masyarakat sebagai individu yang bermanfaat,"" ujarnya. Azhar menegaskan, pendekatan humanis akan terus dikedepankan dalam setiap program pembinaan. ""Kita ingin rutan ini tetap aman dan kondusif. Karena itu, pendekatan persuasif dan humanis seperti ini sangat penting. Dan kami siap melanjutkan kegiatan serupa, termasuk saat 17 Agustus mendatang,"" ucapnya. Baca juga: Jajaran Rutan Bandarlampung kontrol sel napi untuk pastikan ketertiban Baca juga: LBH berikan penyuluhan hukum kepada napi Lapas Narkotika Bandarlampung Baca juga: Napi Rutan Bandarlampung isi Ramadhan dengan pesantren kilat",https://lampung.antaranews.com/berita/788301/peringatan-hari-anak-rutan-bandarlampung-gelar-kegiatan-bersama-keluarga-warga-binaan
Praktisi hukum sebut Anak Berhadapan dengan Hukum harus dilindungi dengan khusus,2025-07-23,"Bandarlampung (ANTARA) - Praktisi hukum dari Kantor Law Firm OSEP DODDY & Partners, Osep Doddy, SH, MH mengatakan bahwa Anak yang Berhadapan dengan Hukum (ABH) harus diberikan perlindungan khusus karena berbeda dengan penanganan hukum orang dewasa. ""Kenapa harus dibedakan, karena sistem peradilan pidana anak ini telah dirancang khusus,"" katanya di Bandarlampung menyikapi momen Hari Anak Nasional, Rabu. Ia menjelaskan sistem peradilan pidana anak telah dirancang dengan khusus karena mempertimbangkan tahap perkembangan anak, kebutuhan perlindungan, dan kepentingan terbaik anak. Oleh karena itu, lanjut dia, pemenuhan hak anak-anak tersebut sebenarnya menjadi tanggungjawab bersama untuk memastikan adanya pemenuhan hak-hak anak, termasuk hak-hak mereka yang berhadapan dengan hukum. ""Melalui Hari Anak Nasional ini sebenarnya juga menjadi pengingat bagi kita semua untuk meningkatkan kesadaran tentang pentingnya perlindungan dan pemenuhan hak-hak anak, mendorong peran aktif seluruh elemen masyarakat dalam menciptakan lingkungan yang aman dan kondusif bagi tumbuh kembang anak, dan menghargai potensi dan kreativitas anak-anak sebagai generasi penerus bangsa,"" kata dia. Ia menambahkan peran seorang penasihat hukum dalam pemenuhan hak anak juga sangat penting guna memastikan agar hak-hak mereka dapat terpenuhi selama dalam proses peradilan. Tidak hanya pada Hari Anak Nasional, tambah Osep, peran penasihat hukum tidak berbeda dengan hari-hari lainnya, terutama dalam konteks anak yang berhadapan dengan hukum, untuk membela hak-hak anak, memberikan pendampingan, membantu menghadapi persidangan, mengajukan upaya hukum, dan lainnya. ""Kami sebagai penasihat hukum tentunya turut andil dalam memastikan hak-hak anak terpenuhi selama proses persidangan dan membantu anak memahami proses hukum yang sedang dihadapi. Kemudian memberikan pendampingan pun tidak dilakukan selama dalam proses persidangan saja melainkan juga termasuk saat proses penyidikan di tingkat kepolisian dengan tujuan untuk memastikan hak-hak anak tidak dilanggar,"" ujarnya. ""Sekali lagi melalui Hari Anak Nasional ini adalah momentum penting untuk merayakan dan melindungi hak-hak anak, serta mengingatkan semua pihak akan tanggungjawab bersama dalam menciptakan masa depan yang lebih baik bagi generasi penerus bangsa,"" katanya. Berita kerja sama",https://lampung.antaranews.com/berita/788297/praktisi-hukum-sebut-anak-berhadapan-dengan-hukum-harus-dilindungi-dengan-khusus
Akademisi Unila sebut tuntutan mati untuk oknum TNI AD bukti hukum tak pandang bulu,2025-07-22,"Bandarlampung (ANTARA) - Akademisi Fakultas Hukum Universitas Lampung (Unila) Budiono menilai, tuntutan hukuman mati yang diajukan oditur militer terhadap oknum TNI AD pelaku penembakan tiga anggota polisi di Way Kanan merupakan langkah yang tepat dan profesional menunjukkan bukti penegakan hukum yang tak pandang bulu. Budiono berharap majelis hakim dapat menjatuhkan putusan sesuai dengan tuntutan tersebut, sekaligus menjadi momen penting bagi transparansi peradilan militer di mata publik. “Hukuman mati tersebut sudah pas dan sewajarnya, karena tindakan dari oknum TNI tersebut terbukti melakukan pembunuhan berencana,” kata Budiono dalam keterangannya di Bandarlampung, Selasa Ia menilai, fakta-fakta persidangan jelas membuktikan bahwa terdakwa merencanakan aksinya sebelum menembak tiga anggota polisi hingga tewas. Menurutnya, perbuatan tersebut tidak hanya melanggar hukum, tetapi juga mencoreng kehormatan profesi TNI sebagai aparatur negara. “Seharusnya aparatur negara memberikan contoh yang baik kepada masyarakat dalam penegakan hukum, bukan sebaliknya,” ujarnya pula. Budiono juga menegaskan bahwa tuntutan tegas dari oditur militer menunjukkan komitmen institusi hukum untuk tidak memberi toleransi terhadap pelanggaran berat, bahkan jika dilakukan oleh aparat negara sendiri. “Ini momentum yang baik bagi peradilan militer untuk menunjukkan kepada publik bahwa hukum ditegakkan tanpa pandang bulu,” katanya menegaskan. Dengan sorotan publik yang tinggi, Budiono berharap majelis hakim dapat bersikap objektif dan menegakkan hukum sesuai tuntutan. “Kasus ini menjadi ujian transparansi dan profesionalisme peradilan militer, yang selama ini sering dipersepsikan tertutup oleh masyarakat,” katanya pula. Baca juga: Keluarga polisi korban penembakan minta terdakwa Kopda Bazarsah dihukum mati Baca juga: Dosen Hukum Unila soroti dakwaan pembunuhan berencana perkara penembakan anggota Polri",https://lampung.antaranews.com/berita/788149/akademisi-unila-sebut-tuntutan-mati-untuk-oknum-tni-ad-bukti-hukum-tak-pandang-bulu
Kanwil Kemenkum Lampung sambangi purna bakti pada Hari Pengayoman Ke-80,2025-07-22,"Bandarlampung (ANTARA) - Kantor Wilayah Kementerian Hukum Lampung dalam rangkaian kegiatan bakti sosial dalam rangka memperingati rangkaian Hari Pengayoman Ke-80 dengan mengunjungi dua orang purna bakti. ""Kami mengunjungi Bapak Tamsil dan Gimin. Kegiatan ini merupakan bentuk penghormatan atas jasa dan pengabdian mereka selama bertugas di Kementerian Hukum,"" kata Kepala Divisi Pelayanan Hukum, Benny Daryono, di Bandarlampung, Selasa. Ia menyampaikan bahwa kunjungan ini adalah bentuk penghargaan yang tulus kepada para purna bakti. “Mereka telah memberikan dedikasi dan loyalitas tinggi selama bertugas. Sudah sepatutnya kita datang dan menyapa mereka, menunjukkan bahwa mereka tetap menjadi bagian dari keluarga besar kita,” ujar Benny. Kepala Divisi Peraturan Perundang-undangan dan Pembinaan Hukum, Laila Yunara, turut menambahkan bahwa nilai-nilai seperti penghormatan dan kebersamaan harus terus dirawat. “Ini bukan sekadar kunjungan, tapi simbol bahwa pengabdian tidak dilupakan, dan kita semua terhubung dalam satu pengayoman,” ucap Laila. Kegiatan ini diharapkan dapat memperkuat jalinan silaturahmi antara pegawai aktif dan para purna bakti, sekaligus menanamkan nilai-nilai keteladanan bagi generasi penerus di lingkungan Kantor Wilayah Kementerian Hukum Lampung. Dalam kesempatan ini, jajaran Kanwil Lampung menyerahkan bingkisan dan tali asih sebagai simbol penghargaan. Selain itu, kegiatan juga diisi dengan bincang santai mengenang masa tugas dan berbagai pengalaman yang pernah dijalani selama menjadi bagian dari Kementerian Hukum. ""Kegiatan ini menjadi ajang silaturahmi yang mempererat hubungan lintas generasi dalam satu keluarga besar Pengayoman,"" tambah Laila.",https://lampung.antaranews.com/berita/788133/kanwil-kemenkum-lampung-sambangi-purna-bakti-pada-hari-pengayoman-ke-80
Bulog Lamsel pastikan beras cukup untuk bantuan pangan ke 106.415 KPM,2025-07-22,"Lampung Selatan (ANTARA) - Bulog Cabang Kabupaten Lampung Selatan (Lamsel) memastikan stok beras cukup untuk bantuan pangan yang akan disalurkan kepada 106.415 Keluarga Penerima Manfaat (KPM). Pimpinan Bulog Cabang Pembantu Kalianda, Fedrial Farhan, di Kalianda Selasa mengatakan, bantuan pangan tersebut berasal dari cadangan beras pemerintah yang akan disalurkan kepada keluarga penerima manfaat di 17 Kecamatan. “Kami pastikan stok cukup dan penyaluran dilakukan langsung ke penerima tanpa biaya alias gratis,” kata dia. Menurutnya, hingga saat ini Bulog telah menyerap lebih dari 55.000 ton gabah dari petani dengan cadangan beras mencapai 24.000 ton. “Berkat dukungan penuh dari Bupati Lampung Selatan, penyaluran bulan ini mencakup alokasi Juni dan Juli, sehingga setiap KPM menerima 20 kilogram beras langsung,” ucapnya. Untuk memastikan bantuan itu tepat sasaran, pihaknya menggunakan data resmi dari Kementerian Sosial (Kemensos) melalui sistem Data Tunggal Sosial Ekonomi Nasional (DTSEN) dan dikoordinasikan dengan Badan Pangan Nasional (Bapanas). Berdasarkan DTSEN dari Bapanas, sebanyak 106.415 KPM di Lampung Selatan ditetapkan sebagai penerima bantuan pangan pada 2025, turun dari 118.916 KPM pada 2024. Sementara itu Bupati Lampung Selatan Radityo Egi Pratama menegaskan program bantuan pangan yang digulirkan pemerintah bukan sekadar seremonial, melainkan bentuk nyata kehadiran negara dalam menjaga stabilitas pangan dan melindungi rakyat dari tekanan ekonomi. “Ini bukan acara biasa. Ini adalah ikhtiar konkret dalam menjaga stabilitas pangan dan menghadirkan negara di tengah masyarakat. Bantuan pangan ini adalah benteng sosial,” katanya. Menurut dia, dampak ekonomi global yang belum sepenuhnya pulih, menjadikan isu pangan tidak hanya soal logistik, tetapi menyangkut kedaulatan, keadilan, dan keberlanjutan. “Penurunan ini menunjukkan proses pendataan kita semakin akurat dan tepat sasaran. Bantuan ini kami pastikan diterima oleh masyarakat yang benar-benar membutuhkan,” ujarnya. Ia juga menerangkan keputusan Presiden RI menetapkan kebijakan ini sangat relevan karena pangan adalah kebutuhan dasar masyarakat. “Ini bukan hanya soal perut. Ini adalah bentuk tanggung jawab moral dan konstitusional negara untuk melindungi rakyat. Dengan semangat Bismillah bisa, mari kita wujudkan kesejahteraan dan Lampung Selatan Maju menuju Indonesia Emas 2045,” ujar dia.",https://lampung.antaranews.com/berita/788097/bulog-lamsel-pastikan-beras-cukup-untuk-bantuan-pangan-ke-106415-kpm
Kopdes Kelurahan Way Urang jadi percontohan desa lainnya,2025-07-21,"Lampung Selatan (ANTARA) - Gubernur Lampung Rahmat Mirzani Djausal (RMD), menyebutkan Koperasi Desa/Kelurahan (Kopdes) Merah Putih Kelurahan Way Urang, Kecamatan Kalianda, Kabupaten Lampung Selatan, menjadi tempat percontohan untuk desa-desa lain agar dapat meniru dalam pembentukan Kopdes. “Kopdes Way Urang sangat lengkap ini dapat menjadi percontohan untuk koperasi desa-desa lain agar bisa seperti Kelurahan Way Urang, Kecamatan Kalianda,” kata Rahmat Mirzani Djausal di Kalianda Senin. Menurutnya, peluncuran pembentukan Kopdes Merah Putih di Kelurahan Way Urang pada Senin (21/7), mampu menunjukkan bahwa koperasi merah putih yang ada di desa maupun kelurahan mampu bersaing dengan perusahaan lain. Dirinya menjelaskan, Kopdes Way Urang menjadi percontohan karena berhasil menjalin kerja sama dengan beberapa mitra Badan usaha Milik Negara (BUMN) untuk pengadaan pupuk, elpiji, sembako, apotek, hingga transaksi perbankan. “Sangat pantas untuk dijadikan percontohan, sebab di sini ada apotek, ada minimarketnya, ada gas LPG dan semuanya lengkap,” katanya. Tidak hanya itu, kata dia para pengurus dan pekerja di Koperasi Merah Putih Kelurahan Way Urang sangat kompeten dalam menjalankan usaha tersebut. “Semuanya layak. Saya yakin Kopdes Kelurahan Way Urang, bisa menjadi penguat ekonomi di wilayah ini,” ucapnya. Oleh karena itu, dirinya berharap agar para pengurus koperasi dapat memberikan kemampuan yang terbaik di bidang nya, serta menjaga semangat agar Kopdes merah putih bisa sukses dan mampu memperkuat ekonomi warga desa. “Kopdes Merah Putih ini harus dijaga dengan baik, para pengurus harus dibina, dibentuk pengawasannya dan penguatan SDM yang ada di desa, kalau kita punya semangat yang sama mulai dari Presiden hingga warga desa, saya yakin ini akan menjadi gerakan ekonomi yang dapat memperkuat perekonomian masyarakat,” ujarnya.",https://lampung.antaranews.com/berita/787893/kopdes-kelurahan-way-urang-jadi-percontohan-desa-lainnya
